,artist_id,artist_name,genres,popularity
215,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop']",94
216,0ECwFtbIWEVNwjlrfc6xoL,Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",79
217,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",82
218,43mhFhQ4JAknA7Ik1bOZuV,Pat Benatar,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",66
219,3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,"['neo mellow', 'pop rock', 'post-grunge']",70
220,5N5RfI8FFXk4WQ8kkjE407,Deep Blue Something,['pop rock'],58
221,2DaxqgrOhkeH0fpeiQq2f4,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",80
222,1TqQi97nqeiuOJrIFv5Sw0,Semisonic,"['alternative rock', 'pop rock']",62
223,6GI52t8N5F02MxU0g5U69P,Santana,"['blues rock', 'classic rock', 'mexican classic rock']",74
224,3aBkeBhwadnWMWoVJ2CxJC,Rob Thomas,"['acoustic pop', 'neo mellow', 'pop rock']",66
226,1tqZaCwM57UFKjWoYwMLrw,The Cardigans,"['dance pop', 'lilith', 'new wave pop', 'permanent wave', 'pop rock', 'swedish pop']",66
227,2hl0xAkS2AIRAu23TVMBG1,Kansas,"['album rock', 'art rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",69
228,07XSN3sPlIlB2L2XNcTwJw,KISS,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",76
229,29kkCKKGXheHuoO829FxWK,Boston,"['album rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",70
230,3ngKsDXZAssmljeXCvEgOe,Eagle-Eye Cherry,['pop rock'],62
231,6xeFne1rkxMhKSW3ipvkdV,Toploader,['british alternative rock'],65
232,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"['british invasion', 'classic rock', 'rock']",82
